adm4_pcode,adm3_name,adm4_name,population_2020
MMR013024040,Kyauktan,Sit Tan,2461.5975289940834
MMR013024041,Kyauktan,Poke Ta Loke,2718.890847980976
MMR013024042,Kyauktan,Ma Yan Bay,2732.3870149850845
MMR013024043,Kyauktan,Shan Chaung,2274.198582023382
MMR013024044,Kyauktan,Tu Myaung,2280.0555495023727
MMR013024045,Kyauktan,Ta Man Gyi Kone,3190.212604522705
MMR013024046,Kyauktan,Aung Chan Thar,2341.058660596609
MMR013024047,Kyauktan,Ku Lar Tan,2947.172337770462
MMR013024049,Kyauktan,Zee Hpyu Pin,1191.9829800128937
MMR013024701,Kyauktan,Urban,20122.385135889053
MMR013024702,Kyauktan,Urban,11366.645727276802
MMR013001701,Insein,Urban,380746.2488117218
MMR013002001,Mingaladon,Nwe Khway,16468.59024810791
MMR013002002,Mingaladon,Kone Ta La Paung,10385.834555625916
MMR013002003,Mingaladon,Shwe Nant Thar,42888.329592227936
MMR013002004,Mingaladon,Pyin Ma Pin,37424.3054151535
MMR013002005,Mingaladon,Thin Gan Kyun Gyi,40069.89925575256
MMR013002701,Mingaladon,Urban,19121.998517513275
MMR013002702,Mingaladon,Urban,86962.92659306526
MMR013007001,Shwepyithar,Oke Hpo,33141.328764915466
MMR013007002,Shwepyithar,Zee Kone,20129.42375946045
MMR013007003,Shwepyithar,Kyaung Kone,16246.053363084793
MMR013007004,Shwepyithar,Hlaw Kar,19049.749890327454
MMR013007701,Shwepyithar,Urban,330207.52746629715
MMR013009701,Thingangyun,Urban,261704.23359298706
MMR013010701,Yankin,Urban,90986.3154296875
MMR013011701,South Okkalapa,Urban,184458.95510101318
MMR013012701,North Okkalapa,Urban,409689.28976488113
MMR013013701,Thaketa,Urban,268346.30924606323
MMR013014701,Dawbon,Urban,88248.31468200684
MMR013015701,Tamwe,Urban,196897.22690582275
MMR013016701,Pazundaung,Urban,60079.02268218994
MMR013017701,Botahtaung,Urban,51358.978723526
MMR013018701,Dagon Myothit (South),Urban,458471.1501914263
MMR013019701,Dagon Myothit (North),Urban,249781.11652183533
MMR013020001,Dagon Myothit (East),Shan Te Gyi (East),3926.7386803627014
MMR013020002,Dagon Myothit (East),Ma Lit (East),5409.27395260334
MMR013020003,Dagon Myothit (East),Lay Daunt Kan (East),1959.152185201645
MMR013020701,Dagon Myothit (East),Urban,191465.10406780243
MMR013021701,Dagon Myothit (Seikkan),Urban,209398.80838489532
MMR013021800,Dagon Myothit (Seikkan),,443.0936622619629
MMR013022701,Mingalartaungnyunt,Urban,162757.9174041748
MMR013030001,Dala,Rakhine Chaung (South),2792.73135972023
MMR013030002,Dala,Rakhine Chaung (North),2815.216700077057
MMR013030003,Dala,Da Noke San Pya,9240.906937122345
MMR013030004,Dala,Nyaung Chaung,7792.050709962845
MMR013030005,Dala,Tone Tin Gan (South),6374.033004999161
MMR013030006,Dala,Tone Tin Gan (North),5540.009498119354
MMR013030007,Dala,Boe Hpyu Chaung,2863.419256210327
MMR013030008,Dala,Kha Naung (Ywar Ma),5314.17217206955
MMR013030009,Dala,Kha Naung (Upper),3133.389264345169
MMR013030010,Dala,Kha Naung (Shan Su),3663.2884373664856
MMR013030011,Dala,Ta Dar Chaung,11766.183658123016
MMR013030012,Dala,Ye Chaung,5286.749231100082
MMR013030013,Dala,Tha Pyay Kone,16218.862109184265
MMR013030014,Dala,Nyaung Ngoke To,9077.41899061203
MMR013030015,Dala,Htaw (Lower),3348.8663363456726
MMR013030016,Dala,Ye Chaung Wa,3971.5391557216644
MMR013030017,Dala,Pyawbwe Gyi,4979.798761606216
MMR013030018,Dala,Shwe Hlay Chaung,6634.740484714508
MMR013030019,Dala,Nyaung Pin,2908.8391926288605
MMR013030020,Dala,Kywe Lu Aing,2559.7075406312943
MMR013030021,Dala,Than Ban Chaung,3708.3421436548233
MMR013030022,Dala,Htu Gyi,15025.640870571136
MMR013030023,Dala,Tha Yaw Tan,3199.506484270096
MMR013030701,Dala,Urban,72262.45491790771
MMR013031701,Seikgyikanaungto,Urban,41585.47145652771
MMR013033701,Kyauktada,Urban,40514.22868728638
MMR013034701,Pabedan,Urban,33605.208267211914
MMR013035701,Lanmadaw,Urban,59958.0062417984
MMR013036701,Latha,Urban,34714.665451049805
MMR013037701,Ahlone,Urban,64355.95393753052
MMR013038701,Kyeemyindaing,Urban,143883.7867217064
MMR013039701,Sanchaung,Urban,121193.60218811035
MMR013040701,Hlaing,Urban,195193.75979995728
MMR013041701,Kamaryut,Urban,103161.45930862427
MMR013042701,Mingaladon,Urban,179535.27308034897
MMR013042701,Mayangone,Urban,237713.24954223633
MMR013043701,Dagon,Urban,31955.389070510864
MMR013044701,Bahan,Urban,119901.92094802856
MMR013046001,Hlaingtharya (East),Shwe Lin Ban,41930.93437576294
MMR013046002,Hlaingtharya (East),Ka Sin,17317.939235687256
MMR013046003,Hlaingtharya (East),Shan Chaung,5193.386100769043
MMR013046004,Hlaingtharya (East),Yae Oke Kan,88879.34617233276
MMR013046005,Hlaingtharya (East),Nyaung,115215.51576042175
MMR013046701,Hlaingtharya (East),Urban,225141.01750183105
MMR013047001,Hlaingtharya (West),Ah Lel,72086.74953079224
MMR013047002,Hlaingtharya (West),Ku Lar Gyi Su,34640.004613399506
MMR013047003,Hlaingtharya (West),Ah Twin Pa Dan,41913.47376155853
MMR013047004,Hlaingtharya (West),Ah Pyin Pa Dan,18150.54327392578
MMR013047701,Hlaingtharya (West),Urban,158679.8282880783
